timestamp,event_type,details
2025-06-04T15:35:05.567802300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055677890 }, name: None, event_type: MouseMove { x: 848.0, y: 569.0 } }"
2025-06-04T15:35:05.571766300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055717519 }, name: None, event_type: MouseMove { x: 851.0, y: 572.0 } }"
2025-06-04T15:35:05.575769600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055757555 }, name: None, event_type: MouseMove { x: 854.0, y: 577.0 } }"
2025-06-04T15:35:05.579779800+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055797654 }, name: None, event_type: MouseMove { x: 857.0, y: 581.0 } }"
2025-06-04T15:35:05.583956600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055839287 }, name: None, event_type: MouseMove { x: 860.0, y: 585.0 } }"
2025-06-04T15:35:05.587781100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055877675 }, name: None, event_type: MouseMove { x: 864.0, y: 590.0 } }"
2025-06-04T15:35:05.591764800+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055917491 }, name: None, event_type: MouseMove { x: 867.0, y: 595.0 } }"
2025-06-04T15:35:05.595787100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055957736 }, name: None, event_type: MouseMove { x: 872.0, y: 600.0 } }"
2025-06-04T15:35:05.599967500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051055999502 }, name: None, event_type: MouseMove { x: 877.0, y: 605.0 } }"
2025-06-04T15:35:05.601840500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056018253 }, name: None, event_type: MouseMove { x: 883.0, y: 612.0 } }"
2025-06-04T15:35:05.605789700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056057752 }, name: None, event_type: MouseMove { x: 889.0, y: 617.0 } }"
2025-06-04T15:35:05.609787200+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056097724 }, name: None, event_type: MouseMove { x: 896.0, y: 622.0 } }"
2025-06-04T15:35:05.613787500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056137738 }, name: None, event_type: MouseMove { x: 903.0, y: 628.0 } }"
2025-06-04T15:35:05.618650900+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056186353 }, name: None, event_type: MouseMove { x: 912.0, y: 633.0 } }"
2025-06-04T15:35:05.622074500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056220380 }, name: None, event_type: MouseMove { x: 920.0, y: 640.0 } }"
2025-06-04T15:35:05.625782+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056257678 }, name: None, event_type: MouseMove { x: 930.0, y: 646.0 } }"
2025-06-04T15:35:05.629767700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056297522 }, name: None, event_type: MouseMove { x: 940.0, y: 652.0 } }"
2025-06-04T15:35:05.633792700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056337808 }, name: None, event_type: MouseMove { x: 950.0, y: 658.0 } }"
2025-06-04T15:35:05.637767+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056377522 }, name: None, event_type: MouseMove { x: 961.0, y: 664.0 } }"
2025-06-04T15:35:05.641773100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056417578 }, name: None, event_type: MouseMove { x: 973.0, y: 669.0 } }"
2025-06-04T15:35:05.645782600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056457677 }, name: None, event_type: MouseMove { x: 986.0, y: 675.0 } }"
2025-06-04T15:35:05.650184100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056501451 }, name: None, event_type: MouseMove { x: 998.0, y: 679.0 } }"
2025-06-04T15:35:05.653770200+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056537566 }, name: None, event_type: MouseMove { x: 1012.0, y: 684.0 } }"
